ISO2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
SE,3.0,3.0,3.0,4.0,4.0,4.0,5.0,6.0,8.0,9.0,11.0,12.0,24.0,43.0,60.0,104.0,153.0,231.0,411.0,698.0,1090.0,1587.0,2587.0
CH,16.0,18.0,20.0,22.0,24.0,28.0,30.0,37.0,49.0,79.0,125.0,223.0,437.0,756.0,1061.0,1394.0,1664.0,1906.0,2173.0,2498.0,2973.0,3655.0,4339.92
SY,,,,,,,,,,,,,,,,,,0.13,1.38,2.47,11.52,33.0,58.0
TJ,,,,,,,,,,,,,,,,,,,,,0.22,0.22,0.22
TH,,,,,,,30.41,32.25,32.35,37.0,48.6,78.7,376.7,823.5,1298.5,1419.6,2446.1,2697.26,2962.44,2982.62,2982.62,3060.3,3060.3
TL,,,,,,,,,,,,,,,,,,,,,,,
TG,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.74,50.74,50.74
TK,,,,,,,,,,,,,0.93,0.93,0.93,0.93,1.02,1.02,1.02,1.02,1.02,1.02,1.02
TO,,,,,,,,,,,,0.18,1.85,2.36,2.37,3.4,4.17,6.34,6.46,6.46,6.46,6.46,13.36
TT,0.34,0.67,0.88,1.22,1.66,1.76,1.99,2.11,2.27,2.53,2.83,2.83,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.1,4.1
TN,,,,,,,,,,,0.41,1.45,4.02,7.98,15.51,25.84,36.0,45.0,61.67,72.97,87.81,87.81,190.0
TM,,,,,,,,,,,,,,,,,,,,,,,
TC,,,,,,,,,,,,,,,,0.03,0.03,0.19,0.44,0.94,0.94,2.57,3.29
TV,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.09,0.76,0.91,0.91,0.91,0.91,0.98,0.98,0.98
TR,0.1,0.3,0.6,1.0,1.5,2.0,2.5,3.0,3.7,4.7,5.7,6.7,11.7,17.7,40.0,249.0,833.0,3420.7,5062.61,5995.16,6667.42,7815.63,9425.43
UG,,,,,,,,,,,,,,,,,0.07,17.56,40.79,50.92,61.51,63.39,66.27
UA,,,,,,,,,,,2.5,188.2,371.6,748.4,819.1,841.2,954.7,1200.0,2002.69,5935.69,7331.0,8062.0,8062.0
AE,,,,,,,,,,10.04,10.79,12.61,13.02,25.61,27.27,28.21,32.09,250.12,496.37,1830.45,2226.89,2896.68,3281.73
GB,2.0,3.0,4.0,6.0,8.0,11.0,14.0,18.0,23.0,27.0,95.0,1000.0,1753.0,2937.0,5528.0,9601.0,11914.0,12760.0,13059.0,13345.0,13579.0,13965.0,14660.0
TZ,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1
VI,,,,,,,,,,,,0.48,0.61,0.86,4.95,9.15,9.19,4.99,9.99,9.99,9.99,9.99,9.99
