time,ZM0 0,ZM0 1,ZM0 2,ZM0 3,ZM0 4,ZM0 5,ZM0 6,ZM0 7,ZM0 8,ZM0 9
41279.91667,2.29548992,39.46444541,13.53157348,29.3199833,10.15907377,2.884508586,0.118601032,2.091935377,1.360203601,15.92903788
41279.95833,2.111779895,36.30607203,12.44863006,26.97347992,9.346034394,2.653658893,0.10910929,1.924515997,1.251345341,14.65422333
41280,2.040858255,35.08677538,12.03055749,26.06760738,9.032158839,2.564538885,0.105444983,1.859883395,1.209320382,14.1620785
41280.04167,2.061316766,35.43850151,12.15115739,26.32892118,9.122701395,2.590247014,0.106502012,1.87852773,1.221443171,14.30404576
41280.08333,2.131674197,36.64809819,12.56590403,27.22758716,9.434079947,2.678658037,0.110137168,1.942646155,1.263133806,14.79227538
41280.125,2.324213091,39.95825895,13.70089233,29.68686049,10.28619296,2.920602072,0.120085072,2.118111497,1.377223654,16.12835588
41280.16667,2.37033225,40.75114722,13.97275795,30.2759343,10.49030099,2.978555326,0.122467909,2.160141,1.404551784,16.44838945
41280.20833,2.588443669,44.50095511,15.2584925,33.06184206,11.45558948,3.252633751,0.133737068,2.358911201,1.533794755,17.96192477
41280.25,2.823580278,48.5434629,16.64458802,36.06521026,12.49622579,3.548105999,0.145885866,2.573196869,1.673126084,19.59360257
41280.29167,2.881823805,49.54479532,16.98792499,36.80914698,12.75399224,3.621294712,0.148895133,2.626275601,1.707638566,19.99777047
41280.33333,2.871906736,49.37429942,16.92946534,36.6824776,12.7101026,3.608832941,0.148382748,2.617237937,1.70176216,19.9289532
41280.375,2.836091957,48.75856577,16.71834252,36.22502025,12.55159832,3.563828153,0.146532307,2.584599064,1.68053994,19.68042457
41280.41667,2.90037388,49.86371129,17.09727494,37.04608458,12.83608869,3.644604703,0.14985356,2.643180732,1.718630503,20.12649456
41280.45833,2.896729,49.80104791,17.07578891,36.99952902,12.81995767,3.640024554,0.14966524,2.639859065,1.716470711,20.10120173
41280.5,2.895288639,49.776285,17.0672982,36.98113149,12.81358311,3.638214599,0.149590821,2.63854643,1.715617219,20.09120668
41280.54167,2.877328442,49.46751029,16.96142549,36.75172832,12.73409726,3.615645847,0.148662871,2.622178869,1.704974818,19.96657591
41280.58333,2.895288639,49.776285,17.0672982,36.98113149,12.81358311,3.638214599,0.149590821,2.63854643,1.715617219,20.09120668
41280.625,2.943134432,50.59885785,17.34934207,37.59225936,13.02533266,3.698337539,0.152062868,2.682149456,1.743968474,20.42322183
41280.66667,3.232558564,55.57468577,19.05545451,41.28903477,14.30622746,4.062027392,0.167016539,2.945908654,1.915468136,22.43161573
41280.70833,3.272720582,56.26515789,19.29220367,41.80201882,14.48397117,4.112494913,0.169091589,2.982509271,1.939266333,22.71031106
41280.75,3.220976824,55.37557057,18.98718187,41.14110278,14.25497054,4.047473799,0.166418146,2.935353935,1.908605321,22.35124685
41280.79167,3.04310361,52.31754463,17.93864559,38.8691522,13.46776294,3.823958632,0.157227974,2.773253782,1.803205692,21.11693554
41280.83333,2.738026965,47.07261607,16.14026389,34.97244932,12.11759532,3.440599856,0.141465585,2.49523007,1.622431057,18.99992453
41280.875,2.426998737,41.72536692,14.30679851,30.9997277,10.74108799,3.049762334,0.125395695,2.211782537,1.438129783,16.84161384
41280.91667,2.2946911,39.45071197,13.52686456,29.30978009,10.15553846,2.88350479,0.118559759,2.091207394,1.359730256,15.92349465
41280.95833,2.112280015,36.31467019,12.4515782,26.97986789,9.348247761,2.654287343,0.10913513,1.924971769,1.25164169,14.6576938
