,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
4081,Shiga Prefecture Takashima City Solar,Solar,PV,PP,JP,3,,,,,,2020,2020,2040,35.3995,135.9087,{nan},{'GEM': {'G100001042833'}},2038
4082,Shiga Prefecture Takashima City Solar,Solar,PV,PP,JP,14.8,,,,,,2016,2016,2040,35.3538,136.0048,"{nan, nan, nan, nan}","{'GEM': {'G100001042877', 'G100001042879', 'G100001042919', 'G100001042852'}}",1946
4083,Shiga Prefecture Takashima City Solar,Solar,PV,PP,JP,3,,,,,,2020,2020,2039,35.3415,135.9373,{nan},{'GEM': {'G100001042888'}},2041
4084,Shiga Prefecture Yasu Solar,Solar,PV,PP,JP,2.9,,,,,,2013,2013,2039,35.1375,135.9974,"{nan, nan}","{'GEM': {'G100001042917', 'G100001042827'}}",2040
4085,Shiga Prefecture Yasu Solar,Solar,PV,PP,JP,2.5,,,,,,2013,2013,2035,35.051,136.0285,"{nan, nan}","{'GEM': {'G100001042824', 'G100001042821'}}",1084
4087,Shimane Prefecture Gotsu City Solar,Solar,PV,PP,JP,3.9,,,,,,2015,2015,2036,35.0354,132.288933333333,"{nan, nan, nan}","{'GEM': {'G100001043787', 'G100001043765', 'G100001043780'}}",2321
4088,Shimane Prefecture Gotsu City Solar,Solar,PV,PP,JP,15.1,,,,,,2013,2013,2042,34.97656,132.18755,"{nan, nan, nan, nan, nan, nan, nan, nan, nan, nan}","{'GEM': {'G100001043749', 'G100001043750', 'G100001043738', 'G100001043748', 'G100001043737', 'G100001043800', 'G100001043774', 'G100001043752', 'G100001043766', 'G100001043795'}}",2321
4089,Shimane Prefecture Hamada City Solar,Solar,PV,PP,JP,11.8,,,,,,2015,2015,2040,34.8987,132.10645,"{nan, nan}","{'GEM': {'G100001043739', 'G100001043773'}}",2322
4090,Shimane Prefecture Hamada City Solar,Solar,PV,PP,JP,11.3,,,,,,2014,2014,2037,34.8573,132.0392,"{nan, nan}","{'GEM': {'G100001043753', 'G100001043747'}}",635
4091,Shimane Prefecture Hamada City Solar,Solar,PV,PP,JP,1,,,,,,2015,2015,2035,34.839,132.0138,{nan},{'GEM': {'G100001043772'}},1522
4092,Shimane Prefecture Hamada City Solar,Solar,PV,PP,JP,1.8,,,,,,2016,2016,2036,34.7699,131.9247,{nan},{'GEM': {'G100001043779'}},1520
4093,Shimane Prefecture Hamada City Solar,Solar,PV,PP,JP,3,,,,,,2015,2015,2036,34.87895,132.1635,"{nan, nan}","{'GEM': {'G100001043768', 'G100001043758'}}",635
4094,Shimane Prefecture Hamada City Solar,Solar,PV,PP,JP,11.5,,,,,,2016,2016,2036,34.8731,132.19115,"{nan, nan}","{'GEM': {'G100001043740', 'G100001043741'}}",635
4095,Shimane Prefecture Hamada City Solar,Solar,PV,PP,JP,2,,,,,,2015.74075,2015.74075,2040.74075,34.8135,131.9717,{nan},{'GEM': {'G100001043797'}},1520
4096,Shimane Prefecture Iinan Town Solar,Solar,PV,PP,JP,1,,,,,,2015.74075,2015.74075,2040.74075,35.0116,132.7125,{nan},{'GEM': {'G100001043796'}},2044
4097,Shimane Prefecture Iinan Town Solar,Solar,PV,PP,JP,2.5,,,,,,2015,2015,2038,35.09455,132.75845,"{nan, nan}","{'GEM': {'G100001043762', 'G100001043767'}}",2044
4098,Shimane Prefecture Izumo City Solar,Solar,PV,PP,JP,3.5,,,,,,2014,2014,2034,35.44685,132.75915,"{nan, nan}","{'GEM': {'G100001043728', 'G100001043733'}}",1035
4099,Shimane Prefecture Izumo City Solar,Solar,PV,PP,JP,4.4,,,,,,2015,2015,2035,35.3794,132.6788,{nan},{'GEM': {'G100001043742'}},2335
4100,Shimane Prefecture Izumo City Solar,Solar,PV,PP,JP,10,,,,,,2015,2015,2035,35.3555,132.7669,{nan},{'GEM': {'G100001043763'}},1035
4101,Shimane Prefecture Izumo City Solar,Solar,PV,PP,JP,5,,,,,,2015,2015,2036,35.3769,132.833566666667,"{nan, nan, nan}","{'GEM': {'G100001043784', 'G100001043751', 'G100001043759'}}",1096
4102,Shimane Prefecture Izumo City Solar,Solar,PV,PP,JP,11.3,,,,,,2016,2016,2042,35.3018333333333,132.654666666667,"{nan, nan, nan}","{'GEM': {'G100001043801', 'G100001043776', 'G100001043771'}}",573
4103,Shimane Prefecture Masuda City Solar,Solar,PV,PP,JP,8.3,,,,,,2013,2013,2037,34.6687166666667,131.795483333333,"{nan, nan, nan, nan, nan, nan}","{'GEM': {'G100001043736', 'G100001043755', 'G100001043757', 'G100001043781', 'G100001043782', 'G100001043789'}}",637
4104,Shimane Prefecture Masuda City Solar,Solar,PV,PP,JP,3,,,,,,2014,2014,2034,34.725,131.95,"{nan, nan}","{'GEM': {'G100001043731', 'G100001043730'}}",570
4105,Shimane Prefecture Masuda City Solar,Solar,PV,PP,JP,2,,,,,,2014,2014,2034,34.6003,131.7557,{nan},{'GEM': {'G100001043732'}},2371
4106,Shimane Prefecture Matsue City Solar,Solar,PV,PP,JP,1.3,,,,,,2019,2019,2038,35.4902,132.9277,{nan},{'GEM': {'G100001043794'}},1093
4107,Shimane Prefecture Matsue City Solar,Solar,PV,PP,JP,3.8,,,,,,2013,2013,2035,35.45225,133.1211,"{nan, nan}","{'GEM': {'G100001043735', 'G100001043764'}}",575
4108,Shimane Prefecture Matsue City Solar,Solar,PV,PP,JP,3.5,,,,,,2013,2013,2033,35.516,133.1923,"{nan, nan}","{'GEM': {'G100001043725', 'G100001043726'}}",764
4109,Shimane Prefecture Matsue City Solar,Solar,PV,PP,JP,4,,,,,,2017,2017,2041,35.3886,133.0438,"{nan, nan, nan}","{'GEM': {'G100001043783', 'G100001043734', 'G100001043799'}}",1770
