,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,country,geometry,substation_lv
2087,2087,1406,70000,False,substation,False,transmission,0.0,140.0194,-2.6349,ID,POINT (140.0194 -2.6349),True
2088,2088,1407,70000,False,substation,False,transmission,0.0,107.4437,-6.5842,ID,POINT (107.4437 -6.5842),True
2089,2089,1407,150000,False,substation,False,transmission,0.0,107.4447,-6.5832,ID,POINT (107.4447 -6.5832),False
2090,2090,1408,150000,False,substation,False,transmission,0.0,107.5492,-6.4614,ID,POINT (107.5492 -6.4614),True
2091,2091,1409,150000,False,substation,False,transmission,0.0,104.5221,0.9615,ID,POINT (104.5221 0.9615),True
2092,2092,1410,150000,False,substation,False,transmission,0.0,104.1322,1.0459,ID,POINT (104.1322 1.0459),True
2093,2093,1411,70000,False,substation,False,transmission,0.0,116.895,-8.5403,ID,POINT (116.895 -8.5403),True
2094,2094,1412,70000,False,substation,False,transmission,0.0,116.8202,-8.7639,ID,POINT (116.8202 -8.7639),True
2095,2095,1413,70000,False,substation,False,transmission,0.0,117.4366,-8.5152,ID,POINT (117.4366 -8.5152),True
2096,2096,1413,150000,False,substation,False,transmission,0.0,117.4376,-8.5142,ID,POINT (117.4376 -8.5142),False
2097,2097,1414,150000,False,substation,False,transmission,0.0,117.3355,-8.4491,ID,POINT (117.3355 -8.4491),True
2098,2098,1415,70000,False,substation,False,transmission,0.0,118.9591,-8.5745,ID,POINT (118.9591 -8.5745),True
2099,2099,1416,70000,False,substation,False,transmission,0.0,118.6368,-8.5548,ID,POINT (118.6368 -8.5548),True
2100,2100,1417,70000,False,substation,False,transmission,0.0,118.7669,-8.4705,ID,POINT (118.7669 -8.4705),True
2101,2101,1418,150000,False,substation,False,transmission,0.0,123.4618,-10.3537,ID,POINT (123.4618 -10.3537),True
2102,2102,1419,150000,False,substation,False,transmission,0.0,97.1823,5.1144,ID,POINT (97.1823 5.1144),True
2103,2103,1420,150000,False,substation,False,transmission,0.0,96.7231,5.1255,ID,POINT (96.7231 5.1255),True
2104,2104,1421,150000,False,substation,False,transmission,0.0,97.9432,4.5106,ID,POINT (97.9432 4.5106),True
2105,2105,1422,150000,False,substation,False,transmission,0.0,97.0878,5.2096,ID,POINT (97.0878 5.2096),True
2106,2106,1423,150000,False,substation,False,transmission,0.0,97.8385,4.8782,ID,POINT (97.8385 4.8782),True
2107,2107,1424,150000,False,substation,False,transmission,0.0,101.5252,0.565,ID,POINT (101.5252 0.565),True
2108,2108,1425,150000,False,substation,False,transmission,0.0,101.5489,0.6592,ID,POINT (101.5489 0.6592),True
2109,2109,1425,275000,False,substation,False,transmission,0.0,101.5499,0.6602,ID,POINT (101.5499 0.6602),False
2110,2110,1425,500000,False,substation,False,transmission,0.0,101.5509,0.6612,ID,POINT (101.5509 0.6612),False
